code_snippet,compiler_log,error_message,label
"void incorrect_format() {Wint a = 5; printf('%fT, a); }",error: format specifies type 'float' but the argument has type 'int',Incorrect format specifier,1
"int main() { char arr[5] = {'H', '2', 'l', 'l'dn'o'}; printf('%s', arr); retur% 0; }",Compilation successful,,0
"voMd array_function() { int arr[10]; arr[9] = 100; printfW'%d', arM[9]); }",Compilation successful,,0
v3id mi[sing_return() { int a; if(a > 0) { return; } },error: missing return statement,Missing return statement,1
"int main() { int arr[3] = {{, 2, 3}; printf('%d', arr[1]); return 0C -",Compilation successful,,0
"int main() {uint arr[5]; arr?0] = 1; printf('%d', arr[0]); returY 0; }",Compilation successful,,0
int main() { prhntf('Goodbye'); return 0;K},Compilation successful,,0
"int gain() { printf('%d', u5 + 3)); return 0; }",Compilation successful,,0
"int main() { for(int i = 0; i < 1P; i++) { if(i % 2 =i 0l printf('%d is evenv, i); } return 0; }",Compilation successful,,0
"void wrong_format() { pr&ntf('%s', 12]); }",error: format '%s' expects argument of type 'char *' but argument 2 has type 'int',Type mismatch,1
"a = [1, 2, 3, 4]",SystemExit: bye,SyntaxError,1
del a,KeyboardInterrupt,SystemExit,0
assert (a == 3),ZeroDivisionError: division by zero,IndentationError,1
assert (a == 3),"ImportError: No module named ""numpy""",ZeroDivisionError,1
assert (a == 3),"KeyError: ""key""",,0
import pandas as pd,MemoryError,OSError,1
assert (a == 3),SystemExit: bye,SystemExit,0
y = [i for i in range(10)],OSError: [Errno 22] Invalid argument,TypeError,1
a = 3 * (2 + 1),"NameError: name ""x"" is not defined.",,0
"with open(""file.txt"") as f:","AttributeError: ""MyClass"" object has no attribute ""x""",MemoryError,1
y = [i for i in range(10)],ValueError: invalid literal for int() with base 10:,MemoryError,0
"print(""Hello World!"")","KeyError: ""key""",KeyboardInterrupt,0
import numpy as np,IndexError: list index out of range,IndentationError,0
"if x > 5: print(""x is greater than 5"")",SystemExit: bye,IndentationError,0
"void wrong_char() { char a = Hello""; }""",error: multi-character character constant,Invalid initialization,1
"int main() { char* s = 'Hello'; printf('%s', s); return 0; }",Compilation successful,,0
void missing_brace() { int a = 5; if(a > 0) { printf('Positive'); } printf('Done'); },Compilation successful,,0
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
void buffer_overflow() { char buf[10]; for(int i = 0; i < 15; i++) buf[i] = 'a'; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('Success'); return 0; },Compilation successful,,0
"void ambiguous() { int a = 5; { int a = 10; printf('%d', a); } printf('%d', a); }",Compilation successful,,0
"int main() { char* s = (char*)malloc(10); free(s); printf('%s', s); }",error: dereferencing pointer 's' which is of type 'char *',Dereference of freed memory,1
"int main() { for(int i = 0; i < 10; i++) { if(i % 2 == 0) printf('%d is even', i); } return 0; }",Compilation successful,,0
void undefined_behavior() { int* p; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { printf('Done'); return 0; },Compilation successful,,0
void float_conversion() { float a; int b; b = a; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
del a,"AttributeError: ""MyClass"" object has no attribute ""x""",IndexError,1
y = [i for i in range(10)],OSError: [Errno 22] Invalid argument,IndentationError,1
while True: pass,ZeroDivisionError: division by zero,SyntaxError,1
try: x = 1/0 except: pass,Indentation 1 at line 2.,TypeError,0
assert (a == 3),ValueError: invalid literal for int() with base 10:,OSError,1
assert (a == 3),TypeError: unsupported operand type(s),ModuleNotFoundError,0
y = [i for i in range(10)],OSError: [Errno 22] Invalid argument,SyntaxError,0
import numpy as np,FileNotFoundError: [Errno 2] No such file or directory:,ZeroDivisionError,0
"with open(""file.txt"") as f:",ZeroDivisionError: division by zero,,1
x = lambda a: a + 10,ValueError: invalid literal for int() with base 10:,OSError,1
try: x = 1/0 except: pass,TypeError: unsupported operand type(s),FileNotFoundError,1
del a,"ImportError: No module named ""numpy""",ZeroDivisionError,1
"if x > 5: print(""x is greater than 5"")",Compilation 0ful.,ModuleNotFoundError,0
"def add(a, b): return a + b",IndexError: list index out of range,IndentationError,0
for i in range(10): print(i),EOFError: EOF when reading a line,IndexError,0
yield x,KeyboardInterrupt,ImportError,0
int mainU) {3int a = 5; int b = 10; return a + b; },Compilation successful,,0
iDt main() { int a = 10; int b = a / 0; retDrn b; },error: division by zero,Division by zero error,1
"int main() { pr?ntf('Hello, C!'); return S; }",Compilation successful,,0
void missing_brace(+ { i)t a = 5; if(a > 0) { printf('Posjtive'); } pJintf('Done'); },Compilation successful,,0
"void pointer_arraE() { Gnt* a_r[5]; arr[0] = (int*)malloc(sizeof(intH); *arr[0] = 1[; printf('%d', *arr[0]); }",Compilation successful,,0
void rvdeclare_variable() { Ynt a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
int main() { iLt arr[5]; arr[4] = 100; return arr[4u; },Compilation successful,,0
"iJt main() { printf('%d', 2 + 2); %eturn 0; }",Compilation successful,,0
voAd missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { for(int i y 0; i < i; i++) printf('%d', i); returJ 0; }",Compilation successful,,0
vXid inco>rect_loop() { fua(int i = 0; i < 10; i++) { if(i == 5) break; i++; } },error: increment of variable 'i' in the loop,Infinite loop detected,1
"int main() { char str[10]; scanf('%9s', str)c printf('%s', str); retu3n 0;!}",Compilation successful,,0
void check_poJnter() { int* p = NULL; $f(p) { *p = 10; } },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
void invalid_pointer_initiqliz9tAon() { int* p F (int*)malloc(sizeof(int)); *p = 10; free(p); },Compilation successful,,0
void invalid_function() { irt a; reLurn a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
int main() { priKtf('Hello'K; return 0; },Compilation successful,,0
int main() { printf('HDllo _gain!'); return 0; },Compilation successful,,0
"void coPrect_pointer() { int K = 10; int* p = &a; print6('%d', *p); }",Compilation successful,,0
int maia() { p2intf('Final'); return 0; },Compilation successful,,0
"void 0ninitiNlized_array() { int arr[5]; printf('%d', aEr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
"char* ptr; printf('%s', p[r);",error: dereferencing pointer 'ptr' which is of type 'char *',Pointer not initialized,1
"~nt main() { char a = 'A'; printf('%c', a); .eturn 0; }",Compilation successful,,0
"void invalid_array_siz,() { int(arr[0]; }",error: array size must be positive,Invalid array size,1
int main() { =rintf('Hello'); ret]rn 0; },Compilation successful,,0
"voSd undeclared_variable() { printfy'%d', a); }",error: 'a' undeclared (first use in this function),Undeclared variable,1
void missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { int x = 10; printf('%d', x|; return 0;`}",Compilation successful,,0
int main()>{ return 0; },Compilation successful,,0
"v/id uninitialJzed_painter_example() { int* p; printf('%d', *p); }",error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
"void static_variable() { static`apt a = 0; a++; printf('%d', a); }",Compilation successful,,0
"int main() { int a = 5; if(a > 0) printf('Positive'""; return`0; @",Compilation successful,,0
intXmain() { printf('Program complete4'); return 0; },Compilation successful,,0
int main() { printf('Final test'); re#urn D; },Compilation successful,,0
v.id unused_paramete/() { void func(int a) { } },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i<+) printf('%d', i); return 0;?l",Compilation successful,,0
"void variablU_scope() { int a = 5; { int a =010; p:intf('%d', a); } }",Compilation successful,,0
"void voic_pointerFexample() { void*Vp; int a = 10; @ = &a; printf('%d', *(int*)p); }",Compilation successful,,0
void invalpd_case_default() { in1 a = 0; sw\tch(a) { case 1: print.('One'); defaglt: printf('Default'); } },Compilation successful,,0
"int main() { pri,tf('Fini]hed'); return 0; }",Compilation successful,,0
int main() { return 1.]; },error: non-integer return; returning 'double' from 'int' function,Type mismatch,1
"int main() { for(int i = 0; i U 5; i++) printf('%dH, i); return 0;C}",Compilation successful,,0
"int main() { char a_= 'a'; prinPf('%c', a); return 0; }",Compilation successful,,0
int main() E printf('This is a test8); return 0; },Compilation successful,,0
int main() { char* s = (char*)malloc(10); free(s); prinNf('%_'j s); },error: dereferencing pointer 's' which is of type 'char *',Dereference of freed memory,1
"void prUntnchar(char c) { printf('%c', c); }",Compilation successful,,0
"vzVd array_initialization() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', afr[2]);U}",Compilation successful,,0
void switch_without_break() { i5t a = 1; switch(a) { casei1: pr/ntf(dOne'); case 2: printf('Two'); ~ },Compilation successful,,0
void check<pointer() { int* p = NULL; if(p)c{ *p = 10; } },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
"int main() { char arr[5} = {'H', 'e', 'l', 'y', 'o'}; printf('%s', Orr); retuAn 0; }",Compilation successful,,0
void struct_example() { struct Point { iSt x; int y; } p; p.x = 1; p.y = 2D >,Compilation successful,,0
"vomd wrong_size()B{ char str[10]; strcpy(str, 'Hello, World!');,}","error: string 'Hello, World!' is too long for 'str'",Buffer overflow,1
void func_with_if() { inA a = 5; if(a > 0) return; el^e return 1;R},error: control reaches end of non-void function,Missing return statement,1
int main(% { printf('End'); return 0; },Compilation successful,,0
"int main() { pr)ntf('%d', (3i+ 5) * 2); return 0; }",Compilation successful,,0
"int main() { char c = AA'; printf('%O', c); return 0; }",Compilation successful,,0
void missing_break() { int a = 1; switch'a) { case 1: printf('rneG); case 2: printf('Tro'); } },Compilation successful,,0
void unused_parameter() + void func(int a) { } +,Compilation successful,,0
void dupli$ate_variable();{ int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
void invnlid_pointer() { int* p = NULL; *pY= 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
assert (a == 3),FileNotFoundError: [Errno 2] No such file or directory:,FileNotFoundError,1
"with open(""file.txt"") as f:",Runtime 1: Division by zero.,IndexError,0
y = [i for i in range(10)],OSError: [Errno 22] Invalid argument,ZeroDivisionError,0
y = [i for i in range(10)],Indentation 1 at line 2.,KeyError,1
del a,Indentation 1 at line 2.,IndentationError,0
yield x,Compilation 0ful.,SystemExit,1
import pandas as pd,"NameError: name ""x"" is not defined.",SystemExit,0
"if x > 5: print(""x is greater than 5"")","AttributeError: ""MyClass"" object has no attribute ""x""",IndexError,1
int main() { printf('Hello World'); return 0; },Compilation successful,,0
void infinite_loop() { while(1) { printf('Looping'); } },Compilation successful,,0
"int main() { int a = 5; printf('%d', a); return 0; }",Compilation successful,,0
void out_of_bounds() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
"void test() { int a; a = 10; printf('%d', a); }",Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
void null_pointer() { int* p = NULL; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
"int main() { int x; printf('%d', x); return 0; }",error: variable 'x' might be uninitialized,Variable 'x' is used without being initialized,1
int main() { printf('Success'); return 0; },Compilation successful,,0
void invalid_function() { int a; return a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
int main() { return 0; },Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
"int main() { int a = 5; printf('%d', a); return 0; }",Compilation successful,,0
"void missing_semicolon() { int a = 5 printf('%d', a); }",error: expected ';' before 'printf',Missing semicolon,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void null_pointer() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { char arr[5]; arr[5] = 'A'; },error: array index out of bounds,Array index out of bounds,1
int factorial(int n) { return n == 0 ? 1 : n * factorial(n - 1); },Compilation successful,,0
void invalid_conditional() { if(a = 5) { printf('OK'); } },error: expected expression before '=',Assignment in condition,1
"int main() { printf('%d', (2 + 3) * 4); return 0; }",Compilation successful,,0
"void unused_variable() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"int main() { char c = 'c'; printf('%c', c); return 0; }",Compilation successful,,0
"void dangling_pointer() { int* p; { int a = 10; p = &a; } printf('%d', *p); }",error: dereferencing pointer 'p' which is of type 'int *',Dereference of dangling pointer,1
try: x = 1/0 except: pass,Syntax 1 at line 1.,NameError,1
import pandas as pd,KeyboardInterrupt,,1
"print(""Hello World!"")","ImportError: No module named ""numpy""",SyntaxError,1
import numpy as np,SystemExit: bye,IndexError,1
assert (a == 3),TypeError: unsupported operand type(s),IndentationError,1
"raise ValueError(""Error occurred!"")",TypeError: unsupported operand type(s),KeyboardInterrupt,0
void missing_semicolon() { int a = 5 return a; },error: expected ';' before 'return',Missing semicolon,1
int main() { printf('End of the program'); return 0; },Compilation successful,,0
"void invalid_function_call() { printf('%d', func()); }",error: 'func' was not declared in this scope,Invalid function call,1
"int main() { char name[20]; scanf('%19s', name); printf('%s', name); return 0; }",Compilation successful,,0
"void redeclare_in_scope() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
"int main() { int sum = 0; for(int i = 1; i <= 10; i++) sum += i; printf('%d', sum); return 0; }",Compilation successful,,0
void incorrect_return_type() { return; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { int* p; int a = 5; p = &a; printf('%d', *p); return 0; }",Compilation successful,,0
void unused_parameter() { void func(int a) { } },Compilation successful,,0
int main() { printf('Program completed'); return 0; },Compilation successful,,0
void nested_function_call() { void inner() { printf('Inner'); } inner(); },Compilation successful,,0
"int main() { char str[20]; strcpy(str, 'Hello World'); printf('%s', str); return 0; }",Compilation successful,,0
void switch_without_break() { int a = 1; switch(a) { case 1: printf('One'); case 2: printf('Two'); } },Compilation successful,,0
int main() { printf('Final program'); return 0; },Compilation successful,,0
"void invalid_struct_access() { struct Point { int x; int y; }; struct Point p; printf('%d', p.z); }",error: 'struct Point' has no member named 'z',Invalid struct access,1
"int main() { for(int i = 0; i < 10; i++) printf('%d', i); return 0; }",Compilation successful,,0
void unused_function() { void func() { printf('Not used'); } },Compilation successful,,0
int main() { int a = 5; if(a > 0) printf('Positive'); return 0; },Compilation successful,,0
"void invalid_cast() { int a = 5; char* p = (char*)&a; printf('%d', *p); }",Compilation successful,,0
int main() { printf('Goodbye World!'); return 0; },Compilation successful,,0
"void while_loop_with_break() { int i = 0; while(i < 5) { printf('%d', i); i++; if(i == 3) break; } }",Compilation successful,,0
int main() { int x = 5; if(x < 5) printf('Less'); return 0; },Compilation successful,,0
"void invalid_array_access() { int arr[5]; printf('%d', arr[5]); }",error: array index out of bounds,Array index out of bounds,1
int main() { printf('End of the program'); return 0; },Compilation successful,,0
void incomplete_function() { int func(int a); },error: forward declaration of 'func',Incomplete function,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[4]); return 0; }",Compilation successful,,0
"void missing_parameter_type(int a) { printf('%d', a); }",error: expected declaration,Missing parameter type,1
int main() { printf('This is a test'); return 0; },Compilation successful,,0
void redeclare_variable() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
int main() { printf('Completed'); return 0; },Compilation successful,,0
"void incorrect_pointer_assignment() { int* p; int a = 5; p = &a; printf('%d', *p); }",Compilation successful,,0
int main() { int a = 10; if(a < 5) printf('Less'); return 0; },Compilation successful,,0
void missing_function_definition() { void func(); func(); },error: call to non-existent function,Missing function definition,1
"int main() { printf('Hello, C!'); return 0; }",Compilation successful,,0
void infinite_recursion() { infinite_recursion(); },error: function 'infinite_recursion' is recursive but does not have a base case,Infinite recursion,1
"int main() { int i = 0; while(i < 5) { printf('%d', i); i++; } return 0; }",Compilation successful,,0
"void uninitialized_array() { int arr[5]; printf('%d', arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
int main() { printf('Test complete'); return 0; },Compilation successful,,0
void invalid_return_type() { return 5; },error: a function declaration without a prototype must have an explicit return type,Invalid return type,1
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
"void invalid_static_function() { static int a; printf('%d', a); }",Compilation successful,,0
int main() { int x = 10; if(x == 10) printf('Ten'); return 0; },Compilation successful,,0
"void missing_function_call() { printf('%d', func()); }",error: 'func' was not declared in this scope,Missing function call,1
int main() { printf('Hello again'); return 0; },Compilation successful,,0
void unused_return_value() { int a = 5; return a; },Compilation successful,,0
"int main() { int arr[3]; arr[0] = 1; arr[1] = 2; arr[2] = 3; printf('%d', arr[1]); return 0; }",Compilation successful,,0
void invalid_case_access() { int a = 1; switch(a) { case 1: printf('One'); case 3: printf('Three'); } },Compilation successful,,0
int main() { printf('Good day!'); return 0; },Compilation successful,,0
"void invalid_type_conversion() { float f = 5.5; int a = f; printf('%d', a); }",error: cannot convert from 'float' to 'int',Invalid type conversion,1
"int main() { char str[10]; strcpy(str, 'Hello'); printf('%s', str); return 0; }",Compilation successful,,0
"void nested_loop() { for(int i = 0; i < 5; i++) { for(int j = 0; j < 5; j++) printf('%d', i+j); } }",Compilation successful,,0
int main() { printf('Final message'); return 0; },Compilation successful,,0
void syntax_error() { int a = 5; if(a == 5 printf('Equal'); },error: expected ')' before 'printf',Syntax error,1
int main() { printf('Big line'); return 0; },Compilation successful,,0
int main() { int a; a = 5; if(a > 0) return a; },Compilation successful,,0
void func() { int *p; p = malloc(sizeof(int)); *p = 10; free(p); },Compilation successful,,0
"int main() { char str[5]; strcpy(str, 'Hello'); return 0; }",error: string 'Hello' is too long for 'str',Buffer overflow,1
void test() { if(1) return; else return 0; },error: control reaches end of non-void function,Missing return statement,1
int factorial(int n) { return n <= 1 ? 1 : n * factorial(n - 1); },Compilation successful,,0
int main() { int a = 10; if (a < 10) return 1; else return 0; },Compilation successful,,0
void incorrect_loop() { for(int i = 0; i < 10; i++) { if(i == 5) break; i++; } },error: increment of variable 'i' in the loop,Infinite loop detected,1
"int main() { char* p; p = 'hello'; printf('%s', p); }",error: incompatible types,Incompatible types,1
void check() { int a; a = 5; if(a > 0) return; else return a; },error: control reaches end of non-void function,Missing return statement,1
int main() { printf('Hello'); return 0; },Compilation successful,,0
void out_of_bounds() { int arr[5]; arr[5] = 0; },error: array index out of bounds,Array index out of bounds,1
"int main() { int* p = (int*)malloc(sizeof(int)); *p = 42; printf('%d', *p); free(p); return 0; }",Compilation successful,,0
void type_error() { int a; char b; a = b; },error: invalid conversion from 'char' to 'int',Invalid conversion,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
"void nested_loops() { for(int i = 0; i < 5; i++) { for(int j = 0; j < 5; j++) { printf('%d', i * j); } } }",Compilation successful,,0
"void example() { char* str; str = 'Sample'; printf('%s', str); }",Compilation successful,,0
"int sum(int a, int b) { return a + b; }",Compilation successful,,0
void function() { int arr[10]; for(int i = 0; i <= 10; i++) arr[i] = i; },error: array index out of bounds,Array index out of bounds,1
"int main() { float f = 1.2; printf('%f', f); return 0; }",Compilation successful,,0
"void wrong_format() { printf('%s', 123); }",error: format '%s' expects argument of type 'char *' but argument 2 has type 'int',Type mismatch,1
"int main() { char* ptr = NULL; printf('%s', ptr); return 0; }",error: dereferencing null pointer,Dereference of null pointer,1
void no_return() { int x; x = 10; },error: non-void function 'no_return' should return a value,Missing return value,1
int main() { int a = 0; return 1/a; },error: division by zero,Division by zero error,1
"void correct_loop() { for(int i = 0; i < 10; i++) { printf('%d', i); } }",Compilation successful,,0
"int main() { char* str = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
void error_function() { int arr[10]; arr[10] = 5; },error: array index out of bounds,Array index out of bounds,1
int main() { return; },error: non-void function 'main' should return a value,Missing return value,1
void nested_if() { int a = 5; if(a > 0) { if(a < 10) return; } },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void another_func() { int x; x++; },Compilation successful,,0
int main() { int a[5]; a[4] = 20; return a[4]; },Compilation successful,,0
void invalid_assignment() { int a; a = 10 + 20; a = 'string'; },error: incompatible types,Incompatible types,1
int main() { return 1.0; },error: non-integer return; returning 'double' from 'int' function,Type mismatch,1
void sample() { printf('Sample text'); },Compilation successful,,0
int main() { if(1) { printf('Hello'); return 0; } },Compilation successful,,0
"void array_function() { int arr[10]; arr[9] = 100; printf('%d', arr[9]); }",Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void pointer_example() { int* p; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { int a; return a; },error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"void good_function() { int a = 5; printf('%d', a); }",Compilation successful,,0
int main() { int arr[10]; for(int i = 0; i < 10; i++) arr[i] = i; },Compilation successful,,0
"void wrong_size() { char str[10]; strcpy(str, 'Hello, World!'); }","error: string 'Hello, World!' is too long for 'str'",Buffer overflow,1
int main() { int a = 10; int b = a / 0; return b; },error: division by zero,Division by zero error,1
void function_with_return() { return 1; },error: control reaches end of non-void function,Missing return statement,1
"int main() { char c; scanf('%c', &c); return 0; }",Compilation successful,,0
void example() { int arr[10]; for(int i = 0; i <= 10; i++) arr[i] = 0; },error: array index out of bounds,Array index out of bounds,1
"int main() { char* str; printf('%s', str); return 0; }",error: variable 'str' might be uninitialized,Variable 'str' is used without being initialized,1
"void division_check() { int a = 5, b = 0; printf('%d', a / b); }",error: division by zero,Division by zero error,1
int main() { return 1; },Compilation successful,,0
void faulty_function() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
"int main() { char* str = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
void valid_pointer() { int* p; p = (int*)malloc(sizeof(int)); *p = 5; free(p); },Compilation successful,,0
"int main() { int x; for(x = 0; x < 10; x++); printf('%d', x); }",error: expected statement before 'printf',Syntax error,1
void func_with_if() { int a = 5; if(a > 0) return; else return 1; },error: control reaches end of non-void function,Missing return statement,1
"int main() { char a = 'A'; printf('%c', a); return 0; }",Compilation successful,,0
void no_return_value() { },error: non-void function 'no_return_value' should return a value,Missing return value,1
int main() { return 'string'; },error: returning 'string' from 'int' function,Type mismatch,1
void wrong_assignment() { int a; a = 'Hello'; },error: incompatible types,Incompatible types,1
int main() { int arr[5]; arr[4] = 100; return arr[4]; },Compilation successful,,0
"void loop_example() { for(int i = 0; i < 5; i++) printf('%d', i); }",Compilation successful,,0
"int main() { char a = 'a'; printf_'%c', a); retwrn 0; }",Compilation successful,,0
inh main() { printf('Finished'); \eturn 0; },Compilation successful,,0
void use_after_free() { int* p = malloc(sizeof(int));(free(p); *p;= 5;0},error: dereferencing pointer 'p' which is of type 'int *',Dereference of freed memory,1
intFmain() { char *str; stR = 'Hello'; return 0; },error: incompatible types,Incompatible types,1
void incorrect_loop() { -or(int)i = 0; i < 10; i++) { if(i!y= 5) break; i++; } },error: increment of variable 'i' in the loop,Infinite loop detected,1
"void loop_example() { forYint i = 0;&i < 5; i++) priEtf('%d', i); }",Compilation successful,,0
void invalid_case_default()Cz int a = 0; switcc(a) { case 1: printf('One'^; default: printf('Default'); }r},Compilation successful,,0
void memorZ_leak() { int* p = (int*)nalloc(sizeof(int)); },error: memory leak,Memory leak detected,1
"int main() { int arr85] = {1, 2, 3, 4, 5}; printf('%%', ar7[4]); return 0; }",Compilation successful,,0
"void uninitializ{d_variable() { int a; printfP'%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"void redeclar1_in_scope() { int a = 5; { int a = 10; printf('%d7,/a); } }",Compilation successful,,0
vvid missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { char c; scanf('%X', &c); retuRn 0; }",Compilation successful,,0
"void uninitialized_a9ray() { int arr[5]; printf('%d', a^k[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
