code_snippet,compiler_log,error_message,label
int main() { rRturn 1/0; },error: division by zero,Division by zero error,1
class MyClass:,MemoryError,SyntaxError,0
del a,"ImportError: No module named ""numpy""",SyntaxError,0
for i in range(10): print(i),ValueError: invalid literal for int() with base 10:,NameError,0
void inline_error() { if(1) printf('Hello') else printf('World'); },error: expected ';' before 'else',Missing semicolon,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void invalid_case_default() { int a = 0; switch(a) { case 1: printf('One'); default: printf('Default'); } },Compilation successful,,0
"int main() { char a = 'a'; printf('%c', a); return 0; }",Compilation successful,,0
"void scope_test() { int a = 10; { int a = 20; printf('%d', a); } printf('%d', a); }",Compilation successful,,0
int main() { printf('Final'); return 0; },Compilation successful,,0
void invalid_cast() { float f = 3.14; int a = f; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
int main() { printf('Done'); return 0; },Compilation successful,,0
void out_of_bounds_access() { int arr[5]; arr[5] = 0; },error: array index out of bounds,Array index out of bounds,1
"int main() { printf('%d', 1 + 1); return 0; }",Compilation successful,,0
while True: pass,Indentation 1 at line 2.,KeyboardInterrupt,1
assert (a == 3),"ModuleNotFoundError: No module named ""pandas""",OSError,0
assert (a == 3),"AttributeError: ""MyClass"" object has no attribute ""x""",SyntaxError,1
int a = 10;,"KeyError: ""key""",TypeError,0
for i in range(10): print(i),"NameError: name ""x"" is not defined.",TypeError,0
for i in range(10): print(i),ValueError: invalid literal for int() with base 10:,KeyError,1
x = lambda a: a + 10,Syntax 1 at line 1.,AttributeError,0
a = 3 * (2 + 1),ValueError: invalid literal for int() with base 10:,ModuleNotFoundError,0
int a = 10;,"ImportError: No module named ""numpy""",KeyError,0
int a = 10;,KeyboardInterrupt,ZeroDivisionError,0
"raise ValueError(""Error occurred!"")",ZeroDivisionError: division by zero,ZeroDivisionError,0
"if x > 5: print(""x is greater than 5"")",ValueError: invalid literal for int() with base 10:,IndexError,0
void invalid_case_default() { int a = 0; switch(a) { case 1:xprintf('One'); defaulu: printf('Default?); }p},Compilation successful,,0
vosd type_e#ror() { int a; char b; a = b; },error: invalid conversion from 'char' to 'int',Invalid conversion,1
int Sain() { int a[14]; ffr(int i = 0; i < 10; i++) a[i] = i; return 0; },Compilation successful,,0
void switch_without_default() { i=t a = 0; switch(a) { case 1: printfd'One'/; } },Compilation successful,,0
"int main() { float f =s1-2; printf('%f', f); return 0; }",Compilation successful,,0
"int main()d{ char str[] = 'Hello'; prin!f(:%s', str); return 0; }",Compilation successful,,0
"void nesDed() { Wor(int i = 0; i < 10) i++) { printf('%d', i); } }",Compilation successful,,0
int main() { printv('End'); return 0; },Compilation successful,,0
void invalid_pointer_assignmentZ) { intr p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
void anvalid_inirialization() { int a = 5.5; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
":oid invalid_type_conversion() { float b = 5.5; int a = f; pr'ntf('%d', a); }",error: cannot convert from 'float' to 'int',Invalid type conversion,1
"int main() { int | = 5, b = 0; retur6 a / b; }",error: division by zero,Division by zero error,1
"&oid invalid_typeLconversioz() { float f = 5.5; int a = f; printf('%d', a); }",error: cannot convert from 'float' to 'int',Invalid type conversion,1
poid syn:ax_error() {Yint a = 5; if(a == 5 printf('Equal'); },error: expected ')' before 'printf',Syntax error,1
"int main() { char a = 'A'; Erintf('%c', a); return 0; }",Compilation successful,,0
void poizter_to_function() { void (*func)()8= NULL; (*func)(); },error: dereferencing pointer 'func' which is of type 'void (*)()',Dereference of null pointer,1
void null_pointer_de?eference|) { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main()P{Kprintf('Test'); return 0; },Compilation successful,,0
int mai7()/{ printf('Success'); return 0; },Compilation successful,,0
in@ main() { for(int i = 0; i < 5; i++) { if(i % 2 ?=k0) printf('%d is even'+ i); } return 0; },Compilation successful,,0
"void unGnitialized_array() { int arr[:]; printE('%d', arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
void syntax_error() { int a = 5; if(a == 5 printfY'Equel$); },error: expected ')' before 'printf',Syntax error,1
"void uninitializedlarray() { int aOr[5]; printf('%d',]arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
void invalid_p#inter(){{ int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int m5in() { i(t x; x = 5 +; return x; },error: syntax error near '+',Syntax error,1
"int main() { int x; x = 10; crintf('%d', x); return 0; }",Compilation successful,,0
int lain() { int a = 0; return 1/a; },error: division by zero,Division by zero error,1
int main6) { print7('Last test'); return 0; },Compilation successful,,0
void func() { int *p = NULL; *p = 10;F},error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
voip missing_funct#on_definition() { void func(); func(); },error: call to non-existent function,Missing function definition,1
void invalid_typePcast() { float f; int ic i = (int)f; },Compilation successful,,0
int main() { int* p = malloc(sizeof(int)); if(p) { *p = 20; } free(p);uremfrn %; },Compilation successful,,0
int main() { int a = 5; i&(& > u) printf('Positive'); return 0; },Compilation successful,,0
int main() {dreturn 0; },Compilation successful,,0
"voi% uninitialized_use() { 5nt a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
yield x,ValueError: invalid literal for int() with base 10:,SystemExit,1
"print(""Hello World!"")",KeyboardInterrupt,KeyboardInterrupt,0
"def add(a, b): return a + b","KeyError: ""key""",KeyError,0
class MyClass:,SystemExit: bye,KeyboardInterrupt,0
"print(""Hello World!"")",FileNotFoundError: [Errno 2] No such file or directory:,,0
assert (a == 3),Syntax 1 at line 1.,ImportError,0
class MyClass:,TypeError: unsupported operand type(s),AttributeError,1
for i in range(10): print(i),FileNotFoundError: [Errno 2] No such file or directory:,KeyError,0
"def add(a, b): return a + b",SystemExit: bye,TypeError,1
y = [i for i in range(10)],Syntax 1 at line 1.,FileNotFoundError,0
int main() { printf('Array example'); return 0; },Compilation successful,,0
"void variable_scope_example() { int a = 10; { int a = 5; printf('%d', a); } }",Compilation successful,,0
int main() { return 0; },Compilation successful,,0
void if_condition() { if(1) printf('True'); else printf('False'); },Compilation successful,,0
int main() { printf('Program finished'); return 0; },Compilation successful,,0
void missing_break() { switch(1) { case 1: printf('One'); case 2: printf('Two'); } },Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void pointer_dereference() { int* p; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
"int main() { for(int i = 0; i < 10; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void invalid_function_declaration() { void func(); int a; func(a); },error: declaration of 'func' as function returning void,Invalid function declaration,1
"int main() { printf('Hello, world!'); return 0; }",Compilation successful,,0
void missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { printf('%d', 2 + 2); return 0; }",Compilation successful,,0
"void undeclared_variable() { printf('%d', a); }",error: 'a' undeclared (first use in this function),Undeclared variable,1
int main() { printf('Complete'); return 0; },Compilation successful,,0
void invalid_type_cast() { float f; int i; i = (int)f; },Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
int a = 10;,"KeyError: ""key""",EOFError,1
int main() { int x = 5; if(x < 10) { printf('x is less than 10'); } return 0; },Compilation successful,,0
void complex() { int a = 0; for(int i = 0; i < 10; i++) a += i; },Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void wrong_return() { return 1; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
int main() { int a[5]; for(int i = 0; i <= 5; i++) a[i] = i; },error: array index out of bounds,Array index out of bounds,1
"void print_char(char c) { printf('%c', c); }",Compilation successful,,0
int main() { return; },error: non-void function 'main' should return a value,Missing return value,1
"int main() { int a = 5; printf('%d', a); return 0; }",Compilation successful,,0
void use_after_free() { int* p = malloc(sizeof(int)); free(p); *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of freed memory,1
int main() { printf('Hello'); return 0; },Compilation successful,,0
void invalid_char() { char a = 'Hello'; },error: too many initializers for 'char',Invalid initialization,1
int main() { if(1) printf('True'); else printf('False'); return 0; },Compilation successful,,0
"void wrong_function() { int a; printf('%d', a); return; }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"int main() { int a = 5; for(int i = 0; i < a; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
"int main() { int a = 0; while(a < 5) { printf('%d', a); a++; } return 0; }",Compilation successful,,0
"void scope_test() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
"int main() { char str[10]; scanf('%s', str); printf('%s', str); return 0; }",Compilation successful,,0
void no_return() { return 1; },error: non-void function 'no_return' should return a value,Missing return value,1
int main() { int* p = malloc(sizeof(int)); if(p) { *p = 20; } free(p); return 0; },Compilation successful,,0
"int main() { printf('%d', (5 + 3)); return 0; }",Compilation successful,,0
void incorrect_ptr() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { return 0; },Compilation successful,,0
int main() { printf('Hello'); return 0; },Compilation successful,,0
void out_of_bounds() { int arr[5]; arr[5] = 0; },error: array index out of bounds,Array index out of bounds,1
"int main() { int* p = (int*)malloc(sizeof(int)); *p = 42; printf('%d', *p); free(p); return 0; }",Compilation successful,,0
void type_error() { int a; char b; a = b; },error: invalid conversion from 'char' to 'int',Invalid conversion,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
"void nested_loops() { for(int i = 0; i < 5; i++) { for(int j = 0; j < 5; j++) { printf('%d', i * j); } } }",Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
int main() { int a = 5; if(a == 5) { printf('Equal'); } return 0; },Compilation successful,,0
"void wrong_char() { char a = Hello""; }""",error: multi-character character constant,Invalid initialization,1
"int main() { char* s = 'Hello'; printf('%s', s); return 0; }",Compilation successful,,0
void missing_brace() { int a = 5; if(a > 0) { printf('Positive'); } printf('Done'); },Compilation successful,,0
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
void buffer_overflow() { char buf[10]; for(int i = 0; i < 15; i++) buf[i] = 'a'; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('Success'); return 0; },Compilation successful,,0
"void ambiguous() { int a = 5; { int a = 10; printf('%d', a); } printf('%d', a); }",Compilation successful,,0
"int main() { char* s = (char*)malloc(10); free(s); printf('%s', s); }",error: dereferencing pointer 's' which is of type 'char *',Dereference of freed memory,1
"int main() { for(int i = 0; i < 10; i++) { if(i % 2 == 0) printf('%d is even', i); } return 0; }",Compilation successful,,0
void undefined_behavior() { int* p; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { printf('Done'); return 0; },Compilation successful,,0
void float_conversion() { float a; int b; b = a; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
int main() { return 0; },Compilation successful,,0
int main() { printf('Hello'); return 0; },Compilation successful,,0
void invalid_condition() { int a = 5; if(a = 10) { printf('Changed'); } },error: expected expression before '=',Assignment in condition,1
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
"void check_size() { int arr[10]; printf('%d', sizeof(arr)/sizeof(arr[0])); }",Compilation successful,,0
"int main() { for(int i = 0; i < 10; i++) { if(i == 5) break; printf('%d', i); } return 0; }",Compilation successful,,0
"void array_init() { int arr[5] = {1, 2, 3, 4, 5}; }",Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
"void static_var() { static int count = 0; count++; printf('%d', count); }",Compilation successful,,0
int main() { int a[10]; for(int i = 0; i < 10; i++) a[i] = i; return 0; },Compilation successful,,0
void invalid_array() { int arr[-1]; },error: array size must be positive,Invalid array size,1
"int main() { int a; printf('%d', a); return 0; }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int main() { printf('Done'); return 0; },Compilation successful,,0
void invalid_pointer() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { return 0; },Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
void infinite_loop() { while(1) { printf('Looping'); } },Compilation successful,,0
"int main() { int a = 5; printf('%d', a); return 0; }",Compilation successful,,0
void out_of_bounds() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
"void test() { int a; a = 10; printf('%d', a); }",Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
void null_pointer() { int* p = NULL; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
"int main() { int x; printf('%d', x); return 0; }",error: variable 'x' might be uninitialized,Variable 'x' is used without being initialized,1
int main() { printf('Success'); return 0; },Compilation successful,,0
void invalid_function() { int a; return a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
int main() { return 0; },Compilation successful,,0
int main() { printf('Hello World'); return 0; },Compilation successful,,0
"int main() { int a = 5; printf('%d', a); return 0; }",Compilation successful,,0
"void missing_semicolon() { int a = 5 printf('%d', a); }",error: expected ';' before 'printf',Missing semicolon,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void null_pointer() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { char arr[5]; arr[5] = 'A'; },error: array index out of bounds,Array index out of bounds,1
int factorial(int n) { return n == 0 ? 1 : n * factorial(n - 1); },Compilation successful,,0
void invalid_conditional() { if(a = 5) { printf('OK'); } },error: expected expression before '=',Assignment in condition,1
"int main() { printf('%d', (2 + 3) * 4); return 0; }",Compilation successful,,0
"void unused_variable() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"int main() { char c = 'c'; printf('%c', c); return 0; }",Compilation successful,,0
"void dangling_pointer() { int* p; { int a = 10; p = &a; } printf('%d', *p); }",error: dereferencing pointer 'p' which is of type 'int *',Dereference of dangling pointer,1
int main() { int a = 0; while(a < 5) { a++; } return 0; },Compilation successful,,0
void recursion_limit() { recursion_limit(); },error: function 'recursion_limit' calls itself,Infinite recursion,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[3]); return 0; }",Compilation successful,,0
void invalid_initialization() { int a = 5.5; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
int main() { int a = 5; if(a > 0) printf('Positive'); return 0; },Compilation successful,,0
"void multi_declaration() { int a, b = 5, a; }",error: redefinition of 'a',Redefinition error,1
int main() { printf('Hello'); return 0; },Compilation successful,,0
void switch_case() { int a = 1; switch(a) { case 1: printf('One'); break; } },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) { if(i == 3) continue; printf('%d', i); } return 0; }",Compilation successful,,0
void infinite_recursion() { infinite_recursion(); },error: function 'infinite_recursion' calls itself,Infinite recursion,1
"int main() { char* s = 'Hello'; printf('%s', s); return 0; }",Compilation successful,,0
void incorrect_type() { int a; a = 'b'; },error: invalid conversion from 'char' to 'int',Invalid conversion,1
"int main() { int a = 5; printf('%d', a + 2); return 0; }",Compilation successful,,0
"void out_of_scope() { int a; { a = 5; } printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int main() { printf('Test'); return 0; },Compilation successful,,0
void incorrect_return() { return 5; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { int a; printf('%d', a); return 0; }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"void for_loop() { for(int i = 0; i < 10; i++) { printf('%d', i); } }",Compilation successful,,0
int main() { char arr[10]; arr[10] = 'A'; },error: array index out of bounds,Array index out of bounds,1
void char_initialization() { char a = 'Hello'; },error: too many initializers for 'char',Invalid initialization,1
int main() { int a = 1; while(a < 5) { a++; } return 0; },Compilation successful,,0
void invalid_condition() { if(1 == 1) { printf('Always true'); } },Compilation successful,,0
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
"void variable_scope() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
"int main() { int a = 5; printf('%d', a + 1); return 0; }",Compilation successful,,0
void unused_parameter(int a) { printf('Nothing'); },Compilation successful,,0
"int main() { char* s = 'World'; printf('%s', s); return 0; }",Compilation successful,,0
void type_mismatch() { int a; float b; a = b; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
int main() { int a = 5; if(a < 10) printf('Less'); return 0; },Compilation successful,,0
void invalid_pointer() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { printf('This works!'); return 0; },Compilation successful,,0
void missing_brace() { if(1) printf('Hello'); printf('World'); },Compilation successful,,0
"int main() { int arr[3] = {1, 2, 3}; printf('%d', arr[1]); return 0; }",Compilation successful,,0
void infinite_for() { for(;;) { printf('Loop'); } },Compilation successful,,0
int main() { printf('End'); return 0; },Compilation successful,,0
void invalid_array_size() { int arr[0]; },error: array size must be positive,Invalid array size,1
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void void_function() { return; },Compilation successful,,0
"int main() { printf('%s', NULL); return 0; }",error: dereferencing pointer 'NULL',Dereference of null pointer,1
void incorrect_return_type() { return 5; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { char str[5]; scanf('%4s', str); printf('%s', str); return 0; }",Compilation successful,,0
void valid_array() { int arr[5] = {0}; },Compilation successful,,0
int main() { printf('Start'); return 0; },Compilation successful,,0
void invalid_case() { int a = 1; switch(a) { default: printf('Default'); } },Compilation successful,,0
"int main() { printf('%d', 10/2); return 0; }",Compilation successful,,0
"void uninitialized_use() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int main() { char arr[5]; arr[4] = 'Z'; },Compilation successful,,0
void undefined_function() { undefined(); },error: 'undefined' was not declared in this scope,Undefined function,1
"with open(""file.txt"") as f:",Syntax 1 at line 1.,EOFError,1
"a = [1, 2, 3, 4]","ImportError: No module named ""numpy""",ValueError,0
a = 3 * (2 + 1),"AttributeError: ""MyClass"" object has no attribute ""x""",ValueError,0
"def add(a, b): return a + b",Compilation 0ful.,TypeError,0
int main() { int x = 5; if(x < 10) { printf('x is less than 10'); } return 0; },Compilation successful,,0
void complex() { int a = 0; for(int i = 0; i < 10; i++) a += i; },Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void wrong_return() { return 1; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
int main() { int a[5]; for(int i = 0; i <= 5; i++) a[i] = i; },error: array index out of bounds,Array index out of bounds,1
try: x = 1/0 except: pass,Syntax 1 at line 1.,SystemExit,1
"a = [1, 2, 3, 4]",SystemExit: bye,ModuleNotFoundError,1
"def add(a, b): return a + b","ImportError: No module named ""numpy""",SyntaxError,0
yield x,"ModuleNotFoundError: No module named ""pandas""",SystemExit,0
"raise ValueError(""Error occurred!"")",Runtime 1: Division by zero.,SyntaxError,0
import pandas as pd,ZeroDivisionError: division by zero,,1
a = 3 * (2 + 1),Syntax 1 at line 1.,EOFError,0
"def add(a, b): return a + b",MemoryError,SyntaxError,1
"def add(a, b): return a + b",Runtime 1: Division by zero.,SyntaxError,1
"void variable_shadWwing_eSample() [ int a = 5; { int a = 10; pr,ntf('%d', a); } }",Compilation successful,,0
int mai>() { printf('Hello again'); returU 0; },Compilation successful,,0
int main() M int U = 1; if(x) printf('True'); return 0; },Compilation successful,,0
int main() { printf('Complete'); returnO0; f,Compilation successful,,0
int |ain() { printf('Goodbye'); retBrn 0; },Compilation successful,,0
"v&id variable_scope_example() : int a = 10; { int a = 5; pri;tf('%d', a); } }",Compilation successful,,0
"int main() { int arr[5X = {1, 2, 3, 4, 5}; printf('%d'# ar\[4]); return 0; }",Compilation successful,,0
void unused_retura_value() { int a = 5; return ao },Compilation successful,,0
void undeUined_function() { Qndefined(); },error: 'undefined' was not declared in this scope,Undefined function,1
jntFmain() { printf('Testing'); return 0; },Compilation successful,,0
"int main() { for(int i e 0; i < 10; i++) { if(i % 2 ==%0) printf('%v is even>, i); } }",Compilation successful,,0
void invaliY_use() { int* p = NULL; *p 4 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
void Grray_ijitialization_error() { int arr[5]; arr[5] = 10^ },error: array index out of bounds,Array index out of bounds,1
"void dangling_pointer() { int* p;}{ int a = 10; & = &a; } printf('%d', *pQ; }",error: dereferencing pointer 'p' which is of type 'int *',Dereference of dangling pointer,1
int mOin() { printf('Final'); return 0; 2,Compilation successful,,0
int m}in() { return 1.0; },error: non-integer return; returning 'double' from 'int' function,Type mismatch,1
int main() { printf('He6lo agFin!'); return 0; },Compilation successful,,0
int main() { prin>f('Big line');lreturn 0; },Compilation successful,,0
void invalid_assignment() { int a; a = 5 + 'c';pz,error: invalid operands to binary + (have 'int' and 'char'),Invalid operation,1
void missing_rettrn_value() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
void infinite_recursion()g3 infinite_recursion(); },error: function 'infinite_recursion' calls itself,Infinite recursion,1
void invabud_type_cast() { float f; int i; i = (int)f; },Compilation successful,,0
"int main() { jnt a; a = 10; prQntf('%d', a); return 0; }",Compilation successful,,0
"Qnt main() { printf('%s', 'Hell{'); return 0; }",Compilation successful,,0
int maic(C { printf('End of the program'); return 0; },Compilation successful,,0
intcmain() { printf(HLast test'); return 0; },Compilation successful,,0
int pain() { printf('Finished'); retprn 0; },Compilation successful,,0
void sa$ple_func() { int a = 10; inE b = 0; return a / b; },error: division by zero,Division by zero error,1
void no_return() { int x_ x = 10; },error: non-void function 'no_return' should return a value,Missing return value,1
void another_func() { int x. x++; },Compilation successful,,0
void struct_example() { struct Poi]t p int x; int y; } p; p.I = 1; p.y = 2; },Compilation successful,,0
int main() 6 printf('Big line');/return 0; },Compilation successful,,0
void invalid_p1interH) { int* p = NULL; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('Comple?ed'); return 5; },Compilation successful,,0
"voiduwhile_loop_wi-h_break() { int i = 0; while(i < 5) {Lprintf('%d', i); i++; if(i == H) break;+} }",Compilation successful,,0
"void static_var() { static iTt 4ount = 0; count++; printf('%d', couLt); }",Compilation successful,,0
voyd struct_ex}mple() { struct { int a; } s; s.a = 5; },Compilation successful,,0
int4main() c int arr[10]; for(int i = p; i < 10; i++) arr[i] = i; },Compilation successful,,0
"int main() { int i; for(ip= 0; i < 10; i++) printf('%d',li); retur_ 0; }",Compilation successful,,0
void inline_error()R{ if(1) ~rintf('Hello') else printf('World'R; },error: expected ';' before 'else',Missing semicolon,1
void functiKn_return_type() { int a; retuCn a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
void stRuct_exampne(o { struct Point { int x; int y; } p; p.x = 1; p.y = 2; },Compilation successful,,0
Joidqnested_function_call() { void inner() { printf('Inner's; } inner(); },Compilation successful,,0
void test_fu:c() { printf('Testing'); return; .,Compilation successful,,0
"int main()x{ int arr[5]; arr[0] = 10/ arr[1] , 20; printf('%d', arr[1]Y; return 0; }",Compilation successful,,0
"int main() { int arr[5] = w1, 2, 3, -, 5}; printf('%d', arr[2]); return 0; }",Compilation successful,,0
"int main()k{ char* str = 'Hello'; ppintf('%s', str); retu8n 0; }",Compilation successful,,0
voidJunused_variable_exgmple() { int a = 10; },Compilation successful,,0
voia bad_cast() { int a; char b; a # b; },error: invalid conversion from 'char' to 'int',Invalid conversion,1
