code_snippet,compiler_log,error_message,label
"void pointerlarray() { int* arr[5]m arr[0] = (int*)Nalloc(sizeof(int)); *arr[0] = 10; printf('%d', *aZr[7]); }",Compilation successful,,0
void iEvalid_honditional() { if(a = 5) { printf('OK'); } },error: expected expression before '=',Assignment in condition,1
"int ma^n() { char* str; printf('%s', str); rexurn 0; }",error: variable 'str' might be uninitialized,Variable 'str' is used without being initialized,1
"def add(a, b): return a + b","AttributeError: ""MyClass"" object has no attribute ""x""",ValueError,1
import pandas as pd,IndentationError: expected an indented block,ValueError,0
assert (a == 3),IndexError: list index out of range,ModuleNotFoundError,1
"if x > 5: print(""x is greater than 5"")","KeyError: ""key""",AttributeError,1
"def add(a, b): return a + b",ZeroDivisionError: division by zero,,0
"void uninitialized_array() { int arr[5]; printf('%d', arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
"int main() { printf('Hello, world!'); return 0; }",Compilation successful,,0
void mismatched_return() { int a; return a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { int i; for(i = 0; i < 10; i++) printf('%d', i); return 0; }",Compilation successful,,0
"void pointer_array() { int* arr[5]; arr[0] = (int*)malloc(sizeof(int)); *arr[0] = 10; printf('%d', *arr[0]); }",Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void duplicate_variable() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
"int main() { char str[10] = 'Test'; printf('%s', str); return 0; }",error: incompatible types,Incompatible types,1
void uninitialized_pointer() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[4]); return 0; }",Compilation successful,,0
"void negative_index() { int arr[5]; printf('%d', arr[-1]); }",error: array index out of bounds,Array index out of bounds,1
int main() { int x = 1; while(x < 5) { x++; } return 0; },Compilation successful,,0
"void pointer_math() { int a = 10; int* p = &a; printf('%d', *p + 5); }",Compilation successful,,0
"int main() { printf('%d', (3 + 5) * 2); return 0; }",Compilation successful,,0
void array_size() { int arr[0]; },error: array size must be positive,Invalid array size,1
int main() { int x = 2; if(x < 5) printf('Less'); return 0; },Compilation successful,,0
void switch_example() { int a = 1; switch(a) { case 1: printf('One'); break; default: printf('Default'); } },Compilation successful,,0
"int main() { char* str = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
void unused_parameter_example(int a) { printf('No use'); },Compilation successful,,0
"int main() { int a; a = 10; printf('%d', a); return 0; }",Compilation successful,,0
void invalid_pointer() { int* p = NULL; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('Success'); return 0; },Compilation successful,,0
void missing_return_value() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void invalid_case() { int a = 0; switch(a) { case 0: printf('Zero'); case 1: printf('One'); } },Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
"void variable_scope_test() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
"int main() { int arr[5]; arr[0] = 1; printf('%d', arr[0]); return 0; }",Compilation successful,,0
void struct_example() { struct Point { int x; int y; } p; p.x = 1; p.y = 2; },Compilation successful,,0
int main() { printf('Done'); return 0; },Compilation successful,,0
"void for_loop_example() { for(int i = 0; i < 5; i++) printf('%d', i); }",Compilation successful,,0
int main() { int a = 5; if(a == 5) printf('Equal'); return 0; },Compilation successful,,0
void null_pointer_dereference() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('End of program'); return 0; },Compilation successful,,0
void incorrect_assignment() { int a; a = 1.5; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
"int main() { printf('%s', 'Hello'); return 0; }",Compilation successful,,0
void nested_if() { int a = 5; if(a > 0) { if(a < 10) printf('Valid'); } },Compilation successful,,0
int main() { int a = 0; while(a < 5) { a++; } return 0; },Compilation successful,,0
x = lambda a: a + 10,IndexError: list index out of range,ModuleNotFoundError,0
del a,EOFError: EOF when reading a line,EOFError,0
a = 3 * (2 + 1),ZeroDivisionError: division by zero,EOFError,1
try: x = 1/0 except: pass,MemoryError,AttributeError,1
int a = 10;,OSError: [Errno 22] Invalid argument,MemoryError,1
y = [i for i in range(10)],Syntax 1 at line 1.,IndentationError,1
assert (a == 3),KeyboardInterrupt,IndentationError,1
int a = 10;,Runtime 1: Division by zero.,ZeroDivisionError,1
"a = [1, 2, 3, 4]",TypeError: unsupported operand type(s),TypeError,0
"if x > 5: print(""x is greater than 5"")",EOFError: EOF when reading a line,MemoryError,0
assert (a == 3),OSError: [Errno 22] Invalid argument,AttributeError,1
"int main() { printf('Hello, world!'); return 0; }",Compilation successful,,0
void missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { printf('%d', 2 + 2); return 0; }",Compilation successful,,0
"void undeclared_variable() { printf('%d', a); }",error: 'a' undeclared (first use in this function),Undeclared variable,1
int main() { printf('Complete'); return 0; },Compilation successful,,0
void invalid_type_cast() { float f; int i; i = (int)f; },Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
void struct_usage() { struct point { int x; int y; } p; p.x = 10; },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void invalid_use() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('Program finished!'); return 0; },Compilation successful,,0
"void variable_shadowing_example() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
int main() { printf('Last test'); return 0; },Compilation successful,,0
"if x > 5: print(""x is greater than 5"")","AttributeError: ""MyClass"" object has no attribute ""x""",ZeroDivisionError,0
"with open(""file.txt"") as f:",OSError: [Errno 22] Invalid argument,SyntaxError,0
a = 3 * (2 + 1),"ModuleNotFoundError: No module named ""pandas""",MemoryError,0
x = lambda a: a + 10,"NameError: name ""x"" is not defined.",SyntaxError,1
void if_condition() { if(1) printf('True'); else printf('False'); },Compilation successful,,0
int main() { printf('Program finished'); return 0; },Compilation successful,,0
void missing_break() { switch(1) { case 1: printf('One'); case 2: printf('Two'); } },Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void pointer_dereference() { int* p; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
"int main() { for(int i = 0; i < 10; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void invalid_function_declaration() { void func(); int a; func(a); },error: declaration of 'func' as function returning void,Invalid function declaration,1
"int main() { printf('Hello, world!'); return 0; }",Compilation successful,,0
void missing_return() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { printf('%d', 2 + 2); return 0; }",Compilation successful,,0
"void undeclared_variable() { printf('%d', a); }",error: 'a' undeclared (first use in this function),Undeclared variable,1
int main() { printf('Complete'); return 0; },Compilation successful,,0
void invalid_type_cast() { float f; int i; i = (int)f; },Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
void struct_usage() { struct point { int x; int y; } p; p.x = 10; },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void invalid_use() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('Program finished!'); return 0; },Compilation successful,,0
"void variable_shadowing_example() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
int main() { printf('Last test'); return 0; },Compilation successful,,0
"int main() { int x = 10; printf('%d', x); return 0; }",Compilation successful,,0
"void uninitialized_array() { int arr[5]; printf('%d', arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
"int main() { printf('Hello, world!'); return 0; }",Compilation successful,,0
void mismatched_return() { int a; return a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { int i; for(i = 0; i < 10; i++) printf('%d', i); return 0; }",Compilation successful,,0
"void pointer_array() { int* arr[5]; arr[0] = (int*)malloc(sizeof(int)); *arr[0] = 10; printf('%d', *arr[0]); }",Compilation successful,,0
"int main() { char c = 'A'; printf('%c', c); return 0; }",Compilation successful,,0
void duplicate_variable() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
"int main() { char str[10] = 'Test'; printf('%s', str); return 0; }",error: incompatible types,Incompatible types,1
void uninitialized_pointer() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[4]); return 0; }",Compilation successful,,0
"void negative_index() { int arr[5]; printf('%d', arr[-1]); }",error: array index out of bounds,Array index out of bounds,1
int main() { int x = 1; while(x < 5) { x++; } return 0; },Compilation successful,,0
"void pointer_math() { int a = 10; int* p = &a; printf('%d', *p + 5); }",Compilation successful,,0
"int main() { printf('%d', (3 + 5) * 2); return 0; }",Compilation successful,,0
void array_size() { int arr[0]; },error: array size must be positive,Invalid array size,1
int main() { int x = 2; if(x < 5) printf('Less'); return 0; },Compilation successful,,0
void switch_example() { int a = 1; switch(a) { case 1: printf('One'); break; default: printf('Default'); } },Compilation successful,,0
"int main() { char* str = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
void unused_parameter_example(int a) { printf('No use'); },Compilation successful,,0
"int main() { int a; a = 10; printf('%d', a); return 0; }",Compilation successful,,0
void invalid_pointer() { int* p = NULL; *p = 5; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('Success'); return 0; },Compilation successful,,0
void missing_return_value() { int a; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void invalid_case() { int a = 0; switch(a) { case 0: printf('Zero'); case 1: printf('One'); } },Compilation successful,,0
"int main() { char str[10]; scanf('%9s', str); printf('%s', str); return 0; }",Compilation successful,,0
"void variable_scope_test() { int a = 5; { int a = 10; printf('%d', a); } }",Compilation successful,,0
"int main() { int arr[5]; arr[0] = 1; printf('%d', arr[0]); return 0; }",Compilation successful,,0
void struct_example() { struct Point { int x; int y; } p; p.x = 1; p.y = 2; },Compilation successful,,0
int main() { printf('Done'); return 0; },Compilation successful,,0
"void for_loop_example() { for(int i = 0; i < 5; i++) printf('%d', i); }",Compilation successful,,0
int main() { int a = 5; if(a == 5) printf('Equal'); return 0; },Compilation successful,,0
void null_pointer_dereference() { int* p = NULL; *p = 1; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of null pointer,1
int main() { printf('End of program'); return 0; },Compilation successful,,0
void incorrect_assignment() { int a; a = 1.5; },error: invalid conversion from 'float' to 'int',Invalid conversion,1
"int main() { printf('%s', 'Hello'); return 0; }",Compilation successful,,0
void nested_if() { int a = 5; if(a > 0) { if(a < 10) printf('Valid'); } },Compilation successful,,0
int main() { int a = 0; while(a < 5) { a++; } return 0; },Compilation successful,,0
void return_type_mismatch() { return 5; },error: a function declaration without a prototype must have an explicit return type,Missing return type,1
"int main() { char str[5]; str[0] = 'H'; str[1] = 'i'; str[2] = '\0'; printf('%s', str); return 0; }",Compilation successful,,0
"void pointer_increment() { int a = 10; int* p = &a; p++; printf('%d', *p); }",error: pointer is incremented beyond allocated memory,Pointer increment error,1
int main() { printf('First line'); printf('Second line'); return 0; },Compilation successful,,0
"void array_initialization() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[2]); }",Compilation successful,,0
"int main() { int x = 10; printf('%d', x); return 0; }",Compilation successful,,0
void float_to_int() { float f = 3.14; int i = f; },Compilation successful,,0
int main() { printf('Testing'); return 0; },Compilation successful,,0
void void_function_return() { return; },Compilation successful,,0
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
void struct_in_function() { struct Point { int x; int y; }; struct Point p; p.x = 1; },Compilation successful,,0
int main() { printf('Final test'); return 0; },Compilation successful,,0
"void void_pointer() { void* p; int a = 10; p = &a; printf('%d', *(int*)p); }",Compilation successful,,0
"int main() { char arr[5] = {'H', 'e', 'l', 'l', 'o'}; printf('%s', arr); return 0; }",Compilation successful,,0
void redeclare_variable() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
int main() { printf('Another test'); return 0; },Compilation successful,,0
"void incorrect_function_call() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int main() { int x = 2; if(x > 0) printf('Positive'); return 0; },Compilation successful,,0
void out_of_bounds_array() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('Testing pointers'); return 0; },Compilation successful,,0
"void correct_pointer() { int a = 10; int* p = &a; printf('%d', *p); }",Compilation successful,,0
"int main() { char str[20]; scanf('%19s', str); printf('%s', str); return 0; }",Compilation successful,,0
void switch_case() { int a = 1; switch(a) { case 1: printf('One'); break; case 2: printf('Two'); } },Compilation successful,,0
"int main() { for(int i = 0; i < 3; i++) printf('%d', i); return 0; }",Compilation successful,,0
"void incorrect_format_specifier() { int a = 5; printf('%f', a); }",error: format specifies type 'float' but the argument has type 'int',Incorrect format specifier,1
int main() { printf('Done'); return 0; },Compilation successful,,0
void invalid_pointer() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { printf('End'); return 0; },Compilation successful,,0
void nested_function() { void func() { printf('Hello'); } func(); },Compilation successful,,0
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
"void undeclared_variable() { printf('%d', a); }",error: 'a' undeclared (first use in this function),Undeclared variable,1
"int main() { int x; x = 10; printf('%d', x); return 0; }",Compilation successful,,0
void double_declaration() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
int main() { printf('Finished'); return 0; },Compilation successful,,0
void invalid_case_default() { int a = 0; switch(a) { case 1: printf('One'); default: printf('Default'); } },Compilation successful,,0
"int main() { char a = 'A'; printf('%c', a); return 0; }",Compilation successful,,0
void pointer_to_function() { void (*func)() = NULL; (*func)(); },error: dereferencing pointer 'func' which is of type 'void (*)()',Dereference of null pointer,1
int main() { printf('Final test'); return 0; },Compilation successful,,0
int main() { printf('Program started'); return 0; },Compilation successful,,0
void incorrect_pointer_usage() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { int a = 5; if(a == 5) printf('Equal'); return 0; },Compilation successful,,0
"void uninitialized_variable() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[2]); return 0; }",Compilation successful,,0
void infinite_loop() { while(1) { printf('Infinite'); } },error: program will never terminate,Infinite loop,1
"int main() { int a = 0; for(int i = 0; i < 10; i++) a += i; printf('%d', a); return 0; }",Compilation successful,,0
void array_out_of_bounds() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('Hello World!'); return 0; },Compilation successful,,0
void function_with_return() { return; },Compilation successful,,0
int main() { int x = 10; if(x > 5) printf('Greater'); return 0; },Compilation successful,,0
void missing_break() { int a = 1; switch(a) { case 1: printf('One'); case 2: printf('Two'); } },Compilation successful,,0
"int main() { char str[] = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
"void dangling_pointer() { int* p; { int a = 10; p = &a; } printf('%d', *p); }",error: dereferencing pointer 'p' which is of type 'int *',Dereference of dangling pointer,1
"int main() { int x; x = 5; printf('%d', x); return 0; }",Compilation successful,,0
void undefined_function() { undefined(); },error: 'undefined' was not declared in this scope,Undefined function,1
x = lambda a: a + 10,"NameError: name ""x"" is not defined.",EOFError,1
a = 3 * (2 + 1),TypeError: unsupported operand type(s),KeyboardInterrupt,1
import numpy as np,IndentationError: expected an indented block,EOFError,1
while True: pass,IndexError: list index out of range,MemoryError,0
import pandas as pd,"AttributeError: ""MyClass"" object has no attribute ""x""",ModuleNotFoundError,1
try: x = 1/0 except: pass,"NameError: name ""x"" is not defined.",IndentationError,0
x = lambda a: a + 10,IndexError: list index out of range,EOFError,0
"raise ValueError(""Error occurred!"")",SystemExit: bye,ValueError,1
a = 3 * (2 + 1),"NameError: name ""x"" is not defined.",ValueError,1
for i in range(10): print(i),Runtime 1: Division by zero.,KeyError,1
"void while_loop_with_break() { int i = 0; while(i < 5) { printf('%d', i); i++; if(i == 3) break; } }",Compilation successful,,0
int main() { int x = 5; if(x < 5) printf('Less'); return 0; },Compilation successful,,0
"void invalid_array_access() { int arr[5]; printf('%d', arr[5]); }",error: array index out of bounds,Array index out of bounds,1
int main() { printf('End of the program'); return 0; },Compilation successful,,0
void incomplete_function() { int func(int a); },error: forward declaration of 'func',Incomplete function,1
"int main() { int arr[5] = {1, 2, 3, 4, 5}; printf('%d', arr[4]); return 0; }",Compilation successful,,0
"void missing_parameter_type(int a) { printf('%d', a); }",error: expected declaration,Missing parameter type,1
int main() { printf('This is a test'); return 0; },Compilation successful,,0
void redeclare_variable() { int a = 5; int a = 10; },error: redefinition of 'a',Redefinition error,1
int main() { printf('Completed'); return 0; },Compilation successful,,0
"void incorrect_pointer_assignment() { int* p; int a = 5; p = &a; printf('%d', *p); }",Compilation successful,,0
int main() { int a = 10; if(a < 5) printf('Less'); return 0; },Compilation successful,,0
void missing_function_definition() { void func(); func(); },error: call to non-existent function,Missing function definition,1
"int main() { printf('Hello, C!'); return 0; }",Compilation successful,,0
void infinite_recursion() { infinite_recursion(); },error: function 'infinite_recursion' is recursive but does not have a base case,Infinite recursion,1
"int main() { int i = 0; while(i < 5) { printf('%d', i); i++; } return 0; }",Compilation successful,,0
"void uninitialized_array() { int arr[5]; printf('%d', arr[0]); }",error: variable 'arr' might be uninitialized,Variable 'arr' is used without being initialized,1
int main() { printf('Test complete'); return 0; },Compilation successful,,0
void invalid_return_type() { return 5; },error: a function declaration without a prototype must have an explicit return type,Invalid return type,1
"int main() { for(int i = 0; i < 5; i++) printf('%d', i); return 0; }",Compilation successful,,0
"void invalid_static_function() { static int a; printf('%d', a); }",Compilation successful,,0
try: x = 1/0 except: pass,IndentationError: expected an indented block,ModuleNotFoundError,1
a = 3 * (2 + 1),EOFError: EOF when reading a line,SystemExit,0
void faulty_func() { int arr[5]; arr[10] = 100; },error: array index out of bounds,Array index out of bounds,1
int main() { char *str; str = 'Hello'; return 0; },error: incompatible types,Incompatible types,1
"int main() { printf('%d', 5/0); }",error: division by zero,Division by zero error,1
void display() { printf('Display'); } int main() { display(); return 0; },Compilation successful,,0
"int main() { int a = 5, b = 0; return a / b; }",error: division by zero,Division by zero error,1
"void myFunction() { for(int i=0; i<10; i++) { printf('%d', i); } }",Compilation successful,,0
"char* str; str = 'Hello'; printf('%s', str);",Compilation successful,,0
void bar(int a) { if(a > 5) { return a; } },error: missing return statement,Missing return statement,1
"int main() { printf('Hello, World!'); return 0; }",Compilation successful,,0
void test() { int a; a++; },Compilation successful,,0
void example() { int x = 0; if(x < 10) return x; return x; },Compilation successful,,0
"void foo() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int factorial(int n) { return n == 0 ? 1 : n * factorial(n - 1); },Compilation successful,,0
"int main() { int a; scanf('%d', &a); return a; }",Compilation successful,,0
int main() { int a; a = 10; if(a > 5) { return a; } else return 0; },Compilation successful,,0
void invalid_func() { int arr[5]; arr[5] = 10; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('This will not compile'; return 0; },error: expected ';' before 'return',Missing semicolon,1
void func() { char* ptr = NULL; *ptr = 'A'; },error: dereferencing pointer 'ptr' which is of type 'char *',Dereference of null pointer,1
int main() { return 0; },Compilation successful,,0
int main() { if(1) printf('Hello'); else printf('World'; },error: expected ';' before '}',Missing semicolon,1
"int add(int a, int b) { return a + b; }",Compilation successful,,0
"void nested() { for(int i = 0; i < 10; i++) { printf('%d', i); } }",Compilation successful,,0
void incorrect() { int a; a = 10 / 0; },error: division by zero,Division by zero error,1
del a,"NameError: name ""x"" is not defined.",SyntaxError,0
try: x = 1/0 except: pass,ZeroDivisionError: division by zero,,1
class MyClass:,OSError: [Errno 22] Invalid argument,ZeroDivisionError,0
"a = [1, 2, 3, 4]","KeyError: ""key""",NameError,0
assert (a == 3),KeyboardInterrupt,SyntaxError,1
"if x > 5: print(""x is greater than 5"")","AttributeError: ""MyClass"" object has no attribute ""x""",ValueError,1
for i in range(10): print(i),"KeyError: ""key""",IndexError,1
x = lambda a: a + 10,KeyboardInterrupt,ValueError,1
"if x > 5: print(""x is greater than 5"")",ZeroDivisionError: division by zero,OSError,1
import pandas as pd,IndentationError: expected an indented block,AttributeError,0
import pandas as pd,Runtime 1: Division by zero.,ValueError,0
def __init__(self): pass,"ModuleNotFoundError: No module named ""pandas""",SyntaxError,0
y = [i for i in range(10)],ValueError: invalid literal for int() with base 10:,TypeError,0
void incorrect() { int a; a = 10 / 0; },error: division by zero,Division by zero error,1
"int main() { char c; scanf('%c', &c); return 0; }",Compilation successful,,0
void func() { int arr[10]; arr[10] = 5; },error: array index out of bounds,Array index out of bounds,1
int main() { int* p; *p = 10; },error: dereferencing pointer 'p' which is of type 'int *',Dereference of uninitialized pointer,1
int main() { printf('Hello World'); return 0; },Compilation successful,,0
"void test() { char* str; str = 'Hello'; printf('%s', str); }",Compilation successful,,0
int main() { return; },error: non-void function 'main' should return a value,Missing return value,1
"int main() { int a; a = 5; printf('%d', a); return 0; }",Compilation successful,,0
int main() { int a = 5; int b = 10; return a + b; },Compilation successful,,0
"void loop() { for(int i = 0; i < 10; i++) { if(i == 5) { continue; } printf('%d', i); } }",Compilation successful,,0
"void function() { int x; printf('%d', x); }",error: variable 'x' might be uninitialized,Variable 'x' is used without being initialized,1
int main() { int a[5]; a[5] = 10; },error: array index out of bounds,Array index out of bounds,1
int main() { int a = 5; if(a = 10) { printf('Hello'); } },error: expected expression before '=',Assignment in condition,1
void test_func() { printf('Testing'); return; },Compilation successful,,0
"int main() { for(int i = 0; i < 10; i++) { if(i % 2 == 0) printf('%d is even', i); } }",Compilation successful,,0
"int main() { int a = 10; int b = 0; if(b != 0) { printf('%d', a / b); } }",error: division by zero,Division by zero error,1
"void print_array(int arr[], int size) { for(int i = 0; i <= size; i++) { printf('%d', arr[i]); } }",error: array index out of bounds,Array index out of bounds,1
"int main() { char* str = 'Hello'; printf('%s', str); return 0; }",Compilation successful,,0
"int main() { printf('String literal: %s', 'Hello'); return 0; }",Compilation successful,,0
void missing_return() { int a; if(a > 0) { return; } },error: missing return statement,Missing return statement,1
"int main() { for(int i = 0; i < 5; i++) { printf('%d', i); } return 0; }",Compilation successful,,0
void init_array() { int arr[5]; for(int i = 0; i < 5; i++) arr[i] = i; },Compilation successful,,0
int main() { int a = 10; int b = 5; return a - b; },Compilation successful,,0
int main() { int a = 5; if(a < 10) return a; },error: non-void function 'main' should return a value,Missing return value,1
"void uninitialized() { int a; printf('%d', a); }",error: variable 'a' might be uninitialized,Variable 'a' is used without being initialized,1
int main() { int* p = malloc(sizeof(int)); *p = 20; free(p); return 0; },Compilation successful,,0
